,iter,timeNSGAII,avgSuppNSGAII,avgConfNSGAII,nbRules,NSGAIIFindInFp,FpFindInNSGAII,NSGAIINbNotNull
0,0,114.89028453826904,0.07169701646090534,0.3880291753965103,150,0.1,0.08,150
1,1,100.69210147857666,0.07093981481481482,0.3980266413117747,150,0.11,0.09,150
2,2,125.7942271232605,0.06244444444444445,0.3870408303653152,150,0.06,0.05,150
3,3,116.50338578224182,0.062402777777777786,0.37287678405234126,150,0.11,0.09,150
4,4,114.74870324134827,0.06934927983539096,0.384383680623762,150,0.1,0.09,150
5,5,99.61304306983948,0.06398559670781893,0.3729858246357437,150,0.11,0.09,150
6,6,65.58603239059448,0.053447530864197526,0.36918291695612593,150,0.07,0.06,150
7,7,92.0771872997284,0.06213631687242798,0.37891271357959533,150,0.08,0.07,150
8,8,92.62903118133545,0.06147119341563786,0.40587612296898784,150,0.11,0.09,150
9,9,72.55412578582764,0.053801954732510295,0.36793568137015975,150,0.1,0.08,148
